_id,keywords
{ "$oid" : "515edf9adcd7f3713e000031" }," ucla caltech immun cell therapi strengthen promis melanoma treatment genet modifi cell fight cancer rise batch tumor kill cell"
{ "$oid" : "515edf9adcd7f3713e000032" }," ucla headlin march 20 2013 news magic tomato mimic good cholesterol los angel time asian news intern indo asian news servic report today kabc channel 7 investor busi daili report tuesday ucla research"
{ "$oid" : "515edf9adcd7f3713e000033" }," trial determin prevent futur stroke encourag closur devic therapi strategi younger patient histori stroke caus hole wall heart"
{ "$oid" : "515edf9adcd7f3713e000034" }," harm patient center life care happier patient live longer improv care reduc cost make center patient ucla dr jonathan bergman"
{ "$oid" : "515edf9adcd7f3713e000035" }," man receiv nation breath lung transplant ucla thank gift life pulmonari fibrosi slowli destroy fernando padilla lung experiment transplant technolog ucla left 57 year grandpa breath lot easier"
{ "$oid" : "515edf9adcd7f3713e000036" }," ucla sell may land meet commit donor benefit semel institut locat malibu 26 mile campus seldom 2 000 squar foot led financi loss univers year"
{ "$oid" : "515edf9adcd7f3713e000037" }," ucla headlin march 19 2013 news knock noggin sit guidelin develop dr christoph giza associ professor neurosurgeri pediatr neurolog david geffen school medicin ucla mattel children rsquo"
{ "$oid" : "515edf9adcd7f3713e000038" }," ucla join cirqu join circus circus train career perform art invent approach ucla school theater film televis uniqu partnership cirqu du soleil"
{ "$oid" : "515edf9adcd7f3713e000039" }," nurs play key role reduc death common diseas nurs midwiv play critic role lessen peopl risk cardiovascular diseas cancer chronic respiratori diseas diabet groundbreak report issu health organ author"
{ "$oid" : "515edf9adcd7f3713e00003a" }," ucla research creat tomato mimic action good cholesterol scientisit consum genet engin fruit help curb inflamm boost antioxid activ reduc plaqu lead atherosclerosi"
{ "$oid" : "515edf9adcd7f3713e00003b" }," high speed rail studi find remot citi benefit connect global hub real estat boom second tier citi improv qualiti life perk rail connect ucla economist"
{ "$oid" : "515edf9adcd7f3713e00003c" }," ucla headlin march 18 2013 news colleg return invest saturday rsquo environment urban econom highlight washington post op ucla chancellor gene block detail higher educ benefit societi"
{ "$oid" : "515edf9adcd7f3713e00003d" }," neuroscientist guidelin sport concuss guidelin develop ucla christoph giza aim protect 1 athlet suffer concuss year"
{ "$oid" : "515edf9cdcd7f3713e00003e" }," paradis beaten path whizz elangata wua plain en rout nairobi namanga catch glimps sacr maasai mountain ol donyo lengai noonkujit swamp herd eleph cross tanzania brows lush grass"
{ "$oid" : "515edf9cdcd7f3713e00003f" }," kenya middl class offer opportun smartphon market american chip maker intel januari chose nairobi launchpad latest entri level android power smartphon dub yolo"
{ "$oid" : "515edf9cdcd7f3713e000040" }," don push worker pull success strategi make employe passion work excel good"
{ "$oid" : "515edf9cdcd7f3713e000041" }," true leader today pray nelson mandela recov bout pneumonia help leader kind"
{ "$oid" : "515edf9cdcd7f3713e000042" }," hire habit rub job candid wrong hire habit amount disrespect job seeker lead regret repercuss"
{ "$oid" : "515edf9cdcd7f3713e000043" }," kibaki curtain fall 50 year public servic born averag famili villag gatuyaini othaya emilio mwai kibaki child save babysitt perman goat herder brother law paul mureithi insist school"
{ "$oid" : "515edf9cdcd7f3713e000044" }," shop onlin cheap option travel pari year maryann maina travel agent book accommod turn blackberri torch shop stay"
{ "$oid" : "515edf9cdcd7f3713e000045" }," governor meet salari bodi pay talk 47 governor schedul meet salari remuner commiss nairobi wednesday seek clariti issu surround salari member devolv govern"
{ "$oid" : "515edf9cdcd7f3713e000046" }," church plead govt vet church organis ask govern allow church countri regul intern mechan"
{ "$oid" : "515edf9cdcd7f3713e000047" }," tevez problem won damag citi mancini roberto mancini insist carlo tevez legal problem will impact manchest citi career"
{ "$oid" : "515edf9cdcd7f3713e000048" }," governor push rustl governor deputi drawn cattl rustl prone area call age cultur practic"
{ "$oid" : "515edf9cdcd7f3713e000049" }," 8 000 maroon flood 8 000 peopl tana river counti spent second night flood home helicopt deliv relief suppli fail land"
{ "$oid" : "515edf9cdcd7f3713e00004a" }," counti post advertis well lobbi group civil societi criticis manner offic siaya governor advertis posit counti execut committe counti public servic board"
{ "$oid" : "515edf9cdcd7f3713e00004b" }," cord form strong opposit parliament raila prime minist raila odinga cord coalit strong"
{ "$oid" : "515edf9cdcd7f3713e00004c" }," right bodi seek repeat poll kilifi kenyan nation commiss human right knchr will legal channel compel independ elector boundari commiss repeat elect part kilifi counti"
{ "$oid" : "515edf9cdcd7f3713e00004d" }," obama urg uhuru ruto build gain constitut presid elect uhuru kenyatta deputi william ruto friday met unit state ambassador robert godec deliv congratulatori messag presid barrack obama"
{ "$oid" : "515edf9cdcd7f3713e00004e" }," final plan uhuru inaugur final prepar tuesday swear presid elect uhuru kenyatta top gear"
{ "$oid" : "515edf9cdcd7f3713e00004f" }," kiraitu drop major leader race kindiki meru senat kiraitu murungi drop race major leader senat"
{ "$oid" : "515edf9cdcd7f3713e000050" }," farmer decri poor sugarcan price fresh row pit sugarcan grower mill compani western kenya delay payment poor cane price throw sector chao"
{ "$oid" : "515edf9cdcd7f3713e000051" }," polic hunt suspect girlfriend murder polic search man alleg stab kill girlfriend wednesday night"
{ "$oid" : "515edf9cdcd7f3713e000052" }," mandela fine better hospit wife nelson mandela wife 94 year icon fine health improv hospitalis week ago pneumonia report friday"
{ "$oid" : "515edf9cdcd7f3713e000053" }," icc charg contribut peac elect indict issu intern crimin court promin kenyan help prevent violenc march elect state depart offici thursday"
{ "$oid" : "515edf9cdcd7f3713e000054" }," donor meet discuss rebuild sudan darfur decad conflict time sudan darfur rebuild expert ahead intern confer woo support develop strategi worth billion dollar"
{ "$oid" : "515edf9cdcd7f3713e000055" }," south africa desmond tutu win 1 7m templeton prize anti apartheid icon desmond tutu archbishop cape town thursday award 1 7 templeton prize lifelong work promot love forgiv"
